"year","unitid","inst_name","state_name","number_applied","number_admitted","sat_crit_read_25_pctl","sat_crit_read_75_pctl","sat_math_25_pctl","sat_math_75_pctl","act_composite_25_pctl","act_composite_75_pctl","act_english_25_pctl","act_english_75_pctl","act_math_25_pctl","act_math_75_pctl","inst_control","institution_level"
"2011","161457","University of New England","Maine","3717","3034","470","570","490","590","21","26","20","25","19","26","Private not-for-profit","Four or more years"
"2011","161509","Maine College of Art","Maine","323","306","","","","","","","","","","","Private not-for-profit","Four or more years"
"2011","161518","Saint Joseph's College of Maine","Maine","1321","1164","430","530","430","530","17","26","17","26","16","25","Private not-for-profit","Four or more years"
"2011","161554","University of Southern Maine","Maine","4351","3406","440","550","440","550","19","22","19","22","18","23","Public","Four or more years"
"2011","161563","Thomas College","Maine","923","854","370","490","350","470","16","19","","","","","Private not-for-profit","Four or more years"
"2011","161572","Unity College","Maine","737","453","","","","","","","","","","","Private not-for-profit","Four or more years"
"2011","373827","New England School of Communications","Maine","399","244","","","","","","","","","","","Private not-for-profit","Four or more years"
"2011","462044","Institute for Doctoral Studies in the Visual Arts","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2010","160959","College of the Atlantic","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2010","160968","Bangor Theological Seminary","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2010","160977","Bates College","Maine","4517","1437","","","","","","","","","","","Private not-for-profit","Four or more years"
"2010","161004","Bowdoin College","Maine","6018","1183","650","750","660","750","30","33","30","35","29","34","Private not-for-profit","Four or more years"
"2010","161086","Colby College","Maine","4213","1440","630","710","620","710","28","31","28","33","27","32","Private not-for-profit","Four or more years"
"2010","161165","Husson University","Maine","1284","1047","410","510","420","530","18","21","17","21","17","23","Private not-for-profit","Four or more years"
"2010","161217","University of Maine at Augusta","Maine","","","","","","","","","","","","","Public","Four or more years"
"2010","161226","University of Maine at Farmington","Maine","1534","1232","","","","","","","","","","","Public","Four or more years"
"2010","161235","University of Maine at Fort Kent","Maine","","","","","","","","","","","","","Public","Four or more years"
"2010","161244","University of Maine at Machias","Maine","360","290","400","530","390","510","15","22","13","21","16","24","Public","Four or more years"
"2010","161253","University of Maine","Maine","6786","5435","470","580","480","590","20","26","","","","","Public","Four or more years"
"2010","161280","University of Maine System Central Office","Maine","","","","","","","","","","","","","Public","Four or more years"
"2010","161299","Maine Maritime Academy","Maine","1028","561","440","540","460","560","","","16","22","17","23","Public","Four or more years"
"2010","161341","University of Maine at Presque Isle","Maine","","","","","","","","","","","","","Public","Four or more years"
"2010","161457","University of New England","Maine","3180","2697","460","560","470","580","20","26","20","25","19","26","Private not-for-profit","Four or more years"
"2010","161509","Maine College of Art","Maine","341","322","","","","","","","","","","","Private not-for-profit","Four or more years"
"2010","161518","Saint Joseph's College of Maine","Maine","1272","1178","440","530","430","540","","","","","","","Private not-for-profit","Four or more years"
"2010","161554","University of Southern Maine","Maine","4351","3406","440","550","440","550","19","22","18","23","17","23","Public","Four or more years"
"2010","161563","Thomas College","Maine","756","548","380","500","390","500","15","21","","","","","Private not-for-profit","Four or more years"
"2010","161572","Unity College","Maine","592","461","","","","","","","","","","","Private not-for-profit","Four or more years"
"2010","373827","New England School of Communications","Maine","306","212","","","","","","","","","","","Private not-for-profit","Four or more years"
"2009","160959","College of the Atlantic","Maine","326","244","","","","","","","","","","","Private not-for-profit","Four or more years"
"2009","160968","Bangor Theological Seminary","Maine","21","13","","","","","","","","","","","Private not-for-profit","Four or more years"
"2009","160977","Bates College","Maine","4767","1284","","","","","","","","","","","Private not-for-profit","Four or more years"
"2009","161004","Bowdoin College","Maine","5940","1153","660","750","660","750","30","33","31","34","27","33","Private not-for-profit","Four or more years"
"2009","161086","Colby College","Maine","4519","1544","630","720","640","720","28","31","28","33","27","32","Private not-for-profit","Four or more years"
"2009","161165","Husson University","Maine","1280","1113","410","510","420","510","16","22","16","23","17","23","Private not-for-profit","Four or more years"
"2009","161217","University of Maine at Augusta","Maine","","","","","","","","","","","","","Public","Four or more years"
"2009","161226","University of Maine at Farmington","Maine","1902","1293","","","","","","","","","","","Public","Four or more years"
"2009","161235","University of Maine at Fort Kent","Maine","","","","","","","","","","","","","Public","Four or more years"
"2009","161244","University of Maine at Machias","Maine","374","276","420","520","390","490","17","22","17","22","16","19","Public","Four or more years"
"2009","161253","University of Maine","Maine","7408","5721","480","590","480","600","21","26","","","","","Public","Four or more years"
"2009","161280","University of Maine System Central Office","Maine","","","","","","","","","","","","","Public","Four or more years"
"2009","161299","Maine Maritime Academy","Maine","871","543","440","540","460","560","","","16","22","16","23","Public","Four or more years"
"2009","161341","University of Maine at Presque Isle","Maine","","","","","","","","","","","","","Public","Four or more years"
"2009","161457","University of New England","Maine","3315","2661","480","570","490","590","21","26","21","26","21","26","Private not-for-profit","Four or more years"
"2009","161509","Maine College of Art","Maine","284","276","440","620","420","550","16","28","","","","","Private not-for-profit","Four or more years"
"2009","161518","Saint Joseph's College of Maine","Maine","1282","1043","430","530","440","540","","","","","","","Private not-for-profit","Four or more years"
"2009","161554","University of Southern Maine","Maine","4139","3457","450","560","450","550","18","23","17","24","17","23","Public","Four or more years"
"2009","161563","Thomas College","Maine","651","532","400","500","450","510","","","","","","","Private not-for-profit","Four or more years"
"2009","161572","Unity College","Maine","664","512","","","","","","","","","","","Private not-for-profit","Four or more years"
"2009","373827","New England School of Communications","Maine","472","295","","","","","","","","","","","Private not-for-profit","Four or more years"
"2008","160959","College of the Atlantic","Maine","360","216","","","","","","","","","","","Private not-for-profit","Four or more years"
"2008","160968","Bangor Theological Seminary","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2008","160977","Bates College","Maine","5098","1487","","","","","","","","","","","Private not-for-profit","Four or more years"
